Data Set 2:Time(s),Data Set 2:Position(m),Data Set 2:Velocity(m/s),Data Set 2:Acceleration(m/s²)
0,-0.0744999945163727,0.818855132318105,0.770400579187663
0.033,-0.0482999980449677,0.847180069797368,0.582884099561224
0.066,-0.0189999938011169,0.869191776622425,0.1461380020869
0.099,0.00959998369216919,0.870538706129247,-0.695966439730597
0.132,0.0392000079154968,0.840656609848292,-2.10405849912388
0.165,0.0674999952316284,0.733838288069574,-3.60663340633741
0.198,0.0884999930858612,0.588888848068738,-4.66067760109741
0.231,0.106799989938736,0.418771121036324,-5.68149173888088
0.264,0.117500007152557,0.205723901188333,-6.37320158604147
0.297,0.120599985122681,-0.0168350007798937,-6.54128146943378
0.33,0.116400003433228,-0.239814672405872,-6.21017935362956
0.363,0.104000002145767,-0.436868606392382,-5.49093739226558
0.396,0.0868000090122223,-0.605387192984623,-4.12324910234681
0.429,0.063400000333786,-0.745286218044332,-3.34577644538514
0.462,0.0365000069141388,-0.842003383821108,-1.94047764632062
0.495,0.0065000057220459,-0.887289718546048,0.366998289930147
0.528,-0.0238000154495239,-0.856060609974042,2.74817653481045
0.561,-0.0523999929428101,-0.728871949292996,5.61673070133022
0.594,-0.0771999955177307,-0.4484849521006,7.14354406169783
0.627,-0.0824000090360642,-0.159427699215886,5.72192218876381
0.66,-0.0821000039577484,-0.0300505245574797,2.9677395360979
0.693,-0.0814000070095062,-0.00378788019270206,0.608860588637687
0.726,-0.0821000039577484,0.000420895088401315,1.38263386918868
0.759,-0.0824000090360642,0.049326706815649,3.35916792834614
0.792,-0.0816999971866608,0.198148328948904,5.84834567915061
0.825,-0.074099987745285,0.482491584438266,6.86735802043138
0.858,-0.0489999949932098,0.742255675571936,5.13865998970044
0.891,-0.0200000107288361,0.852104163531101,1.72807806123744
0.924,0.00959998369216919,0.868350167065759,-0.309652488561998
0.957,0.0385999977588654,0.821801372850785,-2.05630791018492
0.99,0.0650999844074249,0.726094325182816,-3.52162111104046
1.023,0.087799996137619,0.583080982519721,-4.72339908138034
1.056,0.104400008916855,0.40639728709102,-5.64559898770247
1.089,0.115399986505508,0.201851831943499,-6.21946202413156
1.122,0.1182000041008,-0.0180975857005777,-6.30540917475529
1.155,0.11370000243187,-0.225000133618763,-5.99060223189171
1.188,0.102999985218048,-0.417929355945651,-4.95055611876341
1.221,0.0857999920845032,-0.593097497919192,-4.42307334987095
1.254,0.0627000033855438,-0.727104242602583,-3.26586752624183
1.287,0.0365000069141388,-0.813299708494835,-1.46355185045832
1.32,0.00789999961853027,-0.853535553020259,0.00361990954799886
1.353,-0.0211000144481659,-0.834343559814223,2.2193199877821
1.386,-0.0493000149726868,-0.728703583731796,4.90709832412948
1.419,-0.0737999975681305,-0.486447667132323,6.63332235354461
1.452,-0.0828000009059906,-0.206481452140744,5.79667183487249
1.485,-0.0828000009059906,-0.0558922362046611,2.99104077840517
1.518,-0.0833999961614609,-0.00850175215740397,1.69032379146286
1.551,-0.0831000059843063,0.0164982069421698,1.73179657954779
1.584,-0.0824000090360642,0.0587541873406883,3.24278288619602
1.617,-0.0824000090360642,0.205387308039649,5.64544141069753
1.65,-0.0733999907970429,0.479797936148114,6.49254753587494
1.683,-0.0493000149726868,0.716077308060745,4.55949863064795
1.716,-0.0218000113964081,0.82297988160692,2.11404334581823
1.749,0.00720000267028809,0.842340089857377,-0.114726231309097
1.782,0.035099983215332,0.801094403170577,-1.90336163800932
1.815,0.0613000094890595,0.710858816048914,-3.3976847942993
1.848,0.0834000110626221,0.570622909350026,-4.61000651785035
1.881,0.0999000072479248,0.395286063152532,-5.21748359586283
1.914,0.109899997711182,0.201935870478852,-5.78386275133562
1.947,0.113299995660782,0.00328272079377865,-5.95746827717616
1.98,0.110199987888336,-0.197306375712257,-5.41737973642733
2.013,0.100199997425079,-0.391834888996099,-5.26656085464869
2.046,0.0837000012397766,-0.562626178617829,-4.47485669468397
2.079,0.0620000064373016,-0.695202060620791,-3.32257939181483
2.112,0.0367999970912933,-0.786616294472307,-1.93021621342959
2.145,0.008899986743927,-0.83122889100502,-0.191376341808401
2.178,-0.0196999907493591,-0.810437644471224,2.13077742361921
2.211,-0.0462000072002411,-0.717255879532205,4.43989423560619
2.244,-0.0706999897956848,-0.509427665961711,6.27631391169758
2.277,-0.0824000090360642,-0.232239213054028,5.67750446217547
2.31,-0.0824000090360642,-0.0576599428950738,3.6363024333202
2.343,-0.0824000090360642,-0.00252514475523822,1.82623240354414
2.376,-0.0816999971866608,0.0136364815813123,1.17456052130472
2.409,-0.0816999971866608,0.0472222313736424,3.10942578375907
2.442,-0.0821000039577484,0.193602772373141,5.58293384140733
2.475,-0.0733999907970429,0.46683511750064,6.32228464393947
2.508,-0.049699991941452,0.699158243659371,4.77271046893263
2.541,-0.0230999886989594,0.806818004409072,2.22616044540265
2.574,0.00549998879432678,0.831818038767032,-0.09111715283567
2.607,0.0333999991416931,0.788636355087009,-1.96549942232905
2.64,0.0591999888420105,0.688215598514185,-3.31138028246316
2.673,0.0796000063419342,0.555050719265987,-4.05917433938062
